Posição,Código IBGE,Município,UF,População
4229º,2202653,Caxingó,Piauí,5330
4230º,2200459,Alvorada do Gurgueia,Piauí,5326
4231º,4305447,Chuvisca,Rio Grande do Sul,5319
4232º,3135704,Jequitibá,Minas Gerais,5319
4233º,3115359,Catas Altas,Minas Gerais,5316
4234º,3123106,Dores de Guanhães,Minas Gerais,5316
4235º,3172103,Volta Grande,Minas Gerais,5315
4236º,5219258,Santa Fé de Goiás,Goiás,5309
4237º,3145372,Novorizonte,Minas Gerais,5308
4238º,3529500,Mendonça,São Paulo,5302
4239º,3155108,Rio do Prado,Minas Gerais,5302
4240º,3138500,Liberdade,Minas Gerais,5296
4241º,4107157,Diamante d'Oeste,Paraná,5294
4242º,5106802,Porto dos Gaúchos,Mato Grosso,5283
4243º,5100102,Acorizal,Mato Grosso,5269
4244º,2205904,Manoel Emídio,Piauí,5266
4245º,1703909,Caseara,Tocantins,5265
4246º,2204006,Francinópolis,Piauí,5264
4247º,2210052,São José do Divino,Piauí,5260
4248º,2408805,Parazinho,Rio Grande do Norte,5258
4249º,4111704,Jaboti,Paraná,5255
4250º,2203271,Curral Novo do Piauí,Piauí,5251
4251º,3122504,Dom Cavati,Minas Gerais,5247
4252º,2405405,Japi,Rio Grande do Norte,5247
4253º,3127339,Gameleiras,Minas Gerais,5246
4254º,2505279,Curral de Cima,Paraíba,5232
4255º,4122651,Rosário do Ivaí,Paraná,5231
4256º,1720101,São Bento do Tocantins,Tocantins,5231
4257º,4315008,Porto Lucena,Rio Grande do Sul,5227
4258º,4120408,Presidente Castelo Branco,Paraná,5227
4259º,3120409,Cristiano Otoni,Minas Gerais,5225
4260º,3545100,Salmourão,São Paulo,5222
4261º,4124004,Santana do Itararé,Paraná,5222
4262º,2203750,Fartura do Piauí,Piauí,5220
4263º,2205607,Landri Sales,Piauí,5217
4264º,3126604,Francisco Dumont,Minas Gerais,5215
4265º,3135407,Jeceaba,Minas Gerais,5209
4266º,4322905,Viadutos,Rio Grande do Sul,5205
4267º,2705903,Olho d'Água Grande,Alagoas,5195
4268º,4116950,Nova Esperança do Sudoeste,Paraná,5194
4269º,3104452,Aricanduva,Minas Gerais,5192
4270º,5000252,Alcinópolis,Mato Grosso do Sul,5188
4271º,3504701,Balbinos,São Paulo,5188
4272º,3107208,Bocaina de Minas,Minas Gerais,5185
4273º,3518909,Guzolândia,São Paulo,5179
4274º,3521150,Ipiguá,São Paulo,5178
4275º,2209377,Santa Rosa do Piauí,Piauí,5175
4276º,1600253,Itaubal,Amapá,5172
4277º,4307203,Erval Grande,Rio Grande do Sul,5170
4278º,4304002,Campo Novo,Rio Grande do Sul,5161
4279º,2513505,Santana de Mangueira,Paraíba,5159
4280º,3160801,São Bento Abade,Minas Gerais,5159
4281º,4122909,Salto do Itararé,Paraná,5158
4282º,1708304,Goianorte,Tocantins,5153
4283º,3139102,Madre de Deus de Minas,Minas Gerais,5153
4284º,4320305,Selbach,Rio Grande do Sul,5152
4285º,4323101,Vicente Dutra,Rio Grande do Sul,5152
4286º,3115474,Catuti,Minas Gerais,5151
4287º,3129400,Ibertioga,Minas Gerais,5150
4288º,4206603,Guarujá do Sul,Santa Catarina,5139
4289º,3118106,Congonhas do Norte,Minas Gerais,5134
4290º,3541059,Pratânia,São Paulo,5126
4291º,4313037,Nova Esperança do Sul,Rio Grande do Sul,5125
4292º,4312104,Mata,Rio Grande do Sul,5124
4293º,3501400,Álvaro de Carvalho,São Paulo,5119
4294º,2410504,Rafael Fernandes,Rio Grande do Norte,5115
4295º,1600055,Serra do Navio,Amapá,5111
4296º,4306734,Doutor Maurício Cardoso,Rio Grande do Sul,5110
4297º,4107801,Floraí,Paraná,5103
4298º,4202701,Botuverá,Santa Catarina,5100
4299º,4303202,Cacique Doble,Rio Grande do Sul,5100
4300º,2205599,Lagoa do Sítio,Piauí,5087
4301º,3122108,Divino das Laranjeiras,Minas Gerais,5086
4302º,3161403,São Francisco do Glória,Minas Gerais,5085
4303º,4112306,Japira,Paraná,5084
4304º,2511707,Pilõezinhos,Paraíba,5080
4305º,4108452,Foz do Jordão,Paraná,5079
4306º,4113452,Lindoeste,Paraná,5071
4307º,5220157,São Luiz do Norte,Goiás,5071
4308º,3539608,Planalto,São Paulo,5067
4309º,5106281,Novo São Joaquim,Mato Grosso,5066
4310º,2706208,Palestina,Alagoas,5066
4311º,4303400,Caiçara,Rio Grande do Sul,5064
4312º,4126702,Tamboara,Paraná,5064
4313º,4113759,Lunardelli,Paraná,5063
4314º,2200103,Agricolândia,Piauí,5062
4315º,2802007,Divina Pastora,Sergipe,5058
4316º,3120607,Crucilândia,Minas Gerais,5057
4317º,4219358,Vitor Meireles,Santa Catarina,5056
4318º,1712504,Marianópolis do Tocantins,Tocantins,5054
4319º,5221551,Turvelândia,Goiás,5050
4320º,5103437,Curvelândia,Mato Grosso,5049
4321º,3121308,Descoberto,Minas Gerais,5047
4322º,2515930,Sertãozinho,Paraíba,5044
4323º,3159308,Santa Rita de Jacutinga,Minas Gerais,5043
4324º,4303301,Caibaté,Rio Grande do Sul,5042
4325º,5205208,Caturaí,Goiás,5041
4326º,3170651,Vargem Grande do Rio Pardo,Minas Gerais,5032
4327º,3510153,Canitar,São Paulo,5025
4328º,3169802,Turvolândia,Minas Gerais,5025
4329º,3104809,Augusto de Lima,Minas Gerais,5023
4330º,4215208,Romelândia,Santa Catarina,5022
4331º,5107206,Rio Branco,Mato Grosso,5019
4332º,3125408,Felício dos Santos,Minas Gerais,5012
4333º,4312609,Muçum,Rio Grande do Sul,5006
4334º,3108800,Braúnas,Minas Gerais,5003
4335º,3128253,Guaraciama,Minas Gerais,5001
4336º,3138351,Leme do Prado,Minas Gerais,4998
4337º,4302659,Brochier,Rio Grande do Sul,4996
4338º,3136108,Joanésia,Minas Gerais,4996
4339º,3120839,Cuparaque,Minas Gerais,4995
4340º,5208301,Divinópolis de Goiás,Goiás,4995
4341º,3532702,Nipoã,São Paulo,4994
4342º,4309704,Humaitá,Rio Grande do Sul,4988
4343º,2803104,Itabi,Sergipe,4988
4344º,3105202,Bandeira,Minas Gerais,4984
4345º,4305504,Ciríaco,Rio Grande do Sul,4983
4346º,2202554,Caridade do Piauí,Piauí,4982
4347º,3148400,Paulistas,Minas Gerais,4982
4348º,3150406,Piedade dos Gerais,Minas Gerais,4981
4349º,2402907,Coronel João Pessoa,Rio Grande do Norte,4980
4350º,3509957,Canas,São Paulo,4975
4351º,4312302,Miraguaí,Rio Grande do Sul,4975
4352º,2502300,Bom Sucesso,Paraíba,4972
4353º,2207405,Palmeira do Piauí,Piauí,4967
4354º,3157401,Santa Cruz do Escalvado,Minas Gerais,4960
4355º,2202117,Campo Alegre do Fidalgo,Piauí,4957
4356º,3142304,Moeda,Minas Gerais,4957
4357º,2111631,São Raimundo do Doca Bezerra,Maranhão,4946
4358º,4200903,Angelina,Santa Catarina,4943
4359º,3526308,Lagoinha,São Paulo,4943
4360º,3162252,São João da Lagoa,Minas Gerais,4942
4361º,4311908,Marcelino Ramos,Rio Grande do Sul,4941
4362º,3143153,Monte Formoso,Minas Gerais,4936
4363º,2504207,Catingueira,Paraíba,4934
4364º,3520608,Indiana,São Paulo,4931
4365º,2209807,São Gonçalo do Piauí,Piauí,4931
4366º,1101559,Teixeirópolis,Rondônia,4931
4367º,2501534,Baraúna,Paraíba,4925
4368º,3102506,Amparo da Serra,Minas Gerais,4924
4369º,4113809,Lupionópolis,Paraná,4911
4370º,3163904,São Pedro da União,Minas Gerais,4911
4371º,2510303,Nova Palmeira,Paraíba,4910
4372º,3171154,Vermelho Novo,Minas Gerais,4905
4373º,3509809,Campos Novos Paulista,São Paulo,4900
4374º,4107702,Fênix,Paraná,4898
4375º,3135902,Jesuânia,Minas Gerais,4898
4376º,4121109,Quinta do Sol,Paraná,4897
4377º,3136553,José Raydan,Minas Gerais,4894
4378º,4209151,José Boiteux,Santa Catarina,4887
4379º,3142254,Miravânia,Minas Gerais,4885
4380º,2408508,Ouro Branco,Rio Grande do Norte,4882
4381º,4211405,Nova Erechim,Santa Catarina,4879
4382º,3136579,Josenópolis,Minas Gerais,4877
4383º,5210802,Itajá,Goiás,4876
4384º,5107792,Santo Antônio do Leste,Mato Grosso,4875
4385º,1705557,Combinado,Tocantins,4874
4386º,3150539,Pingo-d'Água,Minas Gerais,4873
4387º,2211357,Várzea Branca,Piauí,4873
4388º,2203230,Currais,Piauí,4871
4389º,3154408,Ressaquinha,Minas Gerais,4861
4390º,3158805,Santana do Jacaré,Minas Gerais,4861
4391º,2607406,Itacuruba,Pernambuco,4858
4392º,2400604,Almino Afonso,Rio Grande do Norte,4854
4393º,1716307,Pau-d'Arco,Tocantins,4853
4394º,3116407,Claraval,Minas Gerais,4847
4395º,4309803,Ibiaçá,Rio Grande do Sul,4846
4396º,3502002,Analândia,São Paulo,4845
4397º,4306304,David Canabarro,Rio Grande do Sul,4844
4398º,2413557,Serrinha dos Pintos,Rio Grande do Norte,4841
4399º,3512605,Coronel Macedo,São Paulo,4840
4400º,2504355,Caturité,Paraíba,4839
4401º,2200277,Alegrete do Piauí,Piauí,4838
4402º,4120101,Porto Amazonas,Paraná,4835
4403º,2203602,Eliseu Martins,Piauí,4834
4404º,5007307,Rio Negro,Mato Grosso do Sul,4834
4405º,3156106,Ritápolis,Minas Gerais,4834
4406º,3163102,São José da Varginha,Minas Gerais,4834
4407º,1718907,Santa Rosa do Tocantins,Tocantins,4833
4408º,4318424,São João da Urtiga,Rio Grande do Sul,4831
4409º,5218706,Rianápolis,Goiás,4828
4410º,2509602,Monte Horebe,Paraíba,4825
4411º,2406809,Lajes Pintadas,Rio Grande do Norte,4822
4412º,3144409,Natércia,Minas Gerais,4820
4413º,5221502,Turvânia,Goiás,4818
4414º,2202711,Cocal de Telha,Piauí,4812
4415º,2702702,Feliz Deserto,Alagoas,4806
4416º,3112208,Capela Nova,Minas Gerais,4805
4417º,4311718,Maçambará,Rio Grande do Sul,4804
4418º,4312203,Maximiliano de Almeida,Rio Grande do Sul,4804
4419º,4314498,Pinheirinho do Vale,Rio Grande do Sul,4803
4420º,3523008,Itapura,São Paulo,4802
4421º,3517109,Glicério,São Paulo,4800
4422º,2504702,Congo,Paraíba,4789
4423º,2205276,Jatobá do Piauí,Piauí,4786
4424º,2206753,Nossa Senhora de Nazaré,Piauí,4786
4425º,4107850,Flor da Serra do Sul,Paraná,4782
4426º,5219712,Santo Antônio da Barra,Goiás,4780
4427º,1600550,Pracuúba,Amapá,4779
4428º,3166956,Serranópolis de Minas,Minas Gerais,4769
4429º,4213302,Ponte Alta,Santa Catarina,4767
4430º,4115507,Marumbi,Paraná,4765
4431º,4120655,Quarto Centenário,Paraná,4764
4432º,2209955,São João da Varjota,Piauí,4762
4433º,4300034,Aceguá,Rio Grande do Sul,4759
4434º,3530409,Mirassolândia,São Paulo,4758
4435º,4113601,Lobato,Paraná,4751
4436º,1720309,São Sebastião do Tocantins,Tocantins,4749
4437º,3532207,Narandiba,São Paulo,4746
4438º,3516853,Gavião Peixoto,São Paulo,4739
4439º,3555505,Ubirajara,São Paulo,4734
4440º,3127057,Fronteira dos Vales,Minas Gerais,4733
4441º,4206652,Guatambu,Santa Catarina,4733
4442º,3525805,Júlio Mesquita,São Paulo,4733
4443º,5210562,Itaguari,Goiás,4730
4444º,1707306,Dueré,Tocantins,4727
4445º,1701101,Aparecida do Rio Negro,Tocantins,4726
4446º,2202802,Conceição do Canindé,Piauí,4726
4447º,2900603,Aiquara,Bahia,4725
4448º,2911253,Gavião,Bahia,4725
4449º,4115457,Marquinho,Paraná,4725
4450º,3106655,Berizal,Minas Gerais,4720
4451º,3507308,Boraceia,São Paulo,4717
4452º,3515194,Espírito Santo do Turvo,São Paulo,4713
4453º,3124401,Espírito Santo do Dourado,Minas Gerais,4712
4454º,3145851,Oratórios,Minas Gerais,4710
4455º,1703305,Bom Jesus do Tocantins,Tocantins,4700
4456º,5213905,Mossâmedes,Goiás,4700
4457º,3111705,Canaã,Minas Gerais,4699
4458º,4202503,Bom Jardim da Serra,Santa Catarina,4694
4459º,4305132,Cerro Branco,Rio Grande do Sul,4694
4460º,3548401,Santópolis do Aguapeí,São Paulo,4687
4461º,3150307,Piedade do Rio Grande,Minas Gerais,4684
4462º,3516804,Gastão Vidigal,São Paulo,4683
4463º,2205532,Jurema,Piauí,4683
4464º,3106606,Bertópolis,Minas Gerais,4678
4465º,5203104,Baliza,Goiás,4677
4466º,3554201,Tejupá,São Paulo,4677
4467º,3532058,Motuca,São Paulo,4676
4468º,4215075,Riqueza,Santa Catarina,4670
4469º,3136405,Joaquim Felício,Minas Gerais,4669
4470º,2508109,Lagoa,Paraíba,4666
4471º,4309555,Harmonia,Rio Grande do Sul,4664
4472º,2201002,Arraial,Piauí,4656
4473º,4215406,Salto Veloso,Santa Catarina,4655
4474º,3146404,Paineiras,Minas Gerais,4650
4475º,3168101,Tapira,Minas Gerais,4650
4476º,1717800,Ponte Alta do Bom Jesus,Tocantins,4645
4477º,3117405,Conceição de Ipanema,Minas Gerais,4644
4478º,3543105,Ribeirão Corrente,São Paulo,4644
4479º,2412401,São José do Seridó,Rio Grande do Norte,4643
4480º,4126355,Serranópolis do Iguaçu,Paraná,4637
4481º,2514404,São José de Espinharas,Paraíba,4635
4482º,3136520,José Gonçalves de Minas,Minas Gerais,4631
4483º,5102694,Canabrava do Norte,Mato Grosso,4630
4484º,5208103,Formoso,Goiás,4623
4485º,4110904,Itaguajé,Paraná,4620
4486º,4106704,Cruzeiro do Sul,Paraná,4619
4487º,3140605,Materlândia,Minas Gerais,4619
4488º,3114808,Carvalhos,Minas Gerais,4617
4489º,4209854,Lindóia do Sul,Santa Catarina,4615
4490º,3201803,Divino de São Lourenço,Espírito Santo,4612
4491º,2202851,Coronel José Dias,Piauí,4608
4492º,2407609,Messias Targino,Rio Grande do Norte,4608
4493º,4315750,Riozinho,Rio Grande do Sul,4607
4494º,4214904,Rio Fortuna,Santa Catarina,4606
4495º,4322152,Tunas,Rio Grande do Sul,4604
4496º,3122603,Dom Joaquim,Minas Gerais,4602
4497º,1718550,Riachinho,Tocantins,4601
4498º,2111573,São Pedro dos Crentes,Maranhão,4601
4499º,4218756,Tunápolis,Santa Catarina,4597
4500º,4219176,Vargem Bonita,Santa Catarina,4597
4501º,3157302,Santa Bárbara do Tugúrio,Minas Gerais,4590
4502º,4308458,Fortaleza dos Valos,Rio Grande do Sul,4588
4503º,3157500,Santa Efigênia de Minas,Minas Gerais,4587
4504º,2107308,Nova Iorque,Maranhão,4586
4505º,2205565,Lagoa do Barro do Piauí,Piauí,4582
4506º,3156452,Rosário da Limeira,Minas Gerais,4580
4507º,1718808,Sampaio,Tocantins,4579
4508º,3527801,Lupércio,São Paulo,4573
4509º,2513802,Santa Teresinha,Paraíba,4573
4510º,3543204,Ribeirão do Sul,São Paulo,4571
4511º,4207601,Ipira,Santa Catarina,4562
4512º,2209351,Santana do Piauí,Piauí,4559
4513º,3108701,Brás Pires,Minas Gerais,4550
4514º,3531704,Monteiro Lobato,São Paulo,4549
4515º,2411007,Rodolfo Fernandes,Rio Grande do Norte,4545
4516º,1703073,Barra do Ouro,Tocantins,4544
4517º,4314472,Pinhal Grande,Rio Grande do Sul,4544
4518º,4318481,São José do Hortêncio,Rio Grande do Sul,4543
4519º,2607109,Ingazeira,Pernambuco,4542
4520º,5107404,São Pedro da Cipa,Mato Grosso,4541
4521º,2513927,São Bentinho,Paraíba,4540
4522º,2509339,Matinhas,Paraíba,4537
4523º,2209856,São João da Canabrava,Piauí,4534
4524º,2512754,Riachão do Bacamarte,Paraíba,4529
4525º,4320859,Tabaí,Rio Grande do Sul,4526
4526º,1717008,Pindorama do Tocantins,Tocantins,4520
4527º,4309753,Ibarama,Rio Grande do Sul,4519
4528º,3540259,Pontalinda,São Paulo,4519
4529º,2512762,Riachão do Poço,Paraíba,4519
4530º,1703206,Bernardo Sayão,Tocantins,4518
4531º,3112059,Cantagalo,Minas Gerais,4517
4532º,4110409,Indianópolis,Paraná,4504
4533º,2210359,São Lourenço do Piauí,Piauí,4501
4534º,2207751,Passagem Franca do Piauí,Piauí,4500
4535º,2210904,Socorro do Piauí,Piauí,4500
4536º,5212956,Matrinchã,Goiás,4490
4537º,2204550,Guaribas,Piauí,4489
4538º,4205209,Erval Velho,Santa Catarina,4480
4539º,2206001,Marcos Parente,Piauí,4478
4540º,4322251,Tupandi,Rio Grande do Sul,4472
4541º,4312807,Nova Araçá,Rio Grande do Sul,4471
4542º,3525607,João Ramalho,São Paulo,4468
4543º,5108808,Nova Guarita,Mato Grosso,4457
4544º,4321857,Três Palmeiras,Rio Grande do Sul,4457
4545º,2919959,Maetinga,Bahia,4456
4546º,2700805,Belém,Alagoas,4453
4547º,3532108,Murutinga do Sul,São Paulo,4453
4548º,2110807,São Félix de Balsas,Maranhão,4453
4549º,3170438,União de Minas,Minas Gerais,4452
4550º,4107546,Espigão Alto do Iguaçu,Paraná,4447
4551º,5213772,Montividiu do Norte,Goiás,4447
4552º,3120102,Couto de Magalhães de Minas,Minas Gerais,4444
4553º,3100807,Aguanil,Minas Gerais,4440
4554º,3123304,Dores do Turvo,Minas Gerais,4437
4555º,4121257,Ramilândia,Paraná,4435
4556º,2205250,Jardim do Mulato,Piauí,4430
4557º,2201804,Bocaina,Piauí,4428
4558º,2304806,Granjeiro,Ceará,4425
4559º,2411700,São Bento do Trairi,Rio Grande do Norte,4425
4560º,2514107,São João do Tigre,Paraíba,4423
4561º,2413201,Senador Georgino Avelino,Rio Grande do Norte,4423
4562º,3127404,Gonçalves,Minas Gerais,4410
4563º,3165909,Senador Modestino Gonçalves,Minas Gerais,4410
4564º,3546207,Santa Cruz da Conceição,São Paulo,4409
4565º,3508207,Buritizal,São Paulo,4408
4566º,3126307,Fortaleza de Minas,Minas Gerais,4407
4567º,4323408,Vila Maria,Rio Grande do Sul,4407
4568º,4107538,Entre Rios do Oeste,Paraná,4406
4569º,2208874,Ribeira do Piauí,Piauí,4403
4570º,3162658,São João do Pacuí,Minas Gerais,4396
4571º,3149606,Pequi,Minas Gerais,4395
4572º,2203800,Flores do Piauí,Piauí,4393
4573º,4103008,Boa Esperança,Paraná,4392
4574º,2211704,Wall Ferraz,Piauí,4390
4575º,5215256,Novo Planalto,Goiás,4387
4576º,2205300,Jerumenha,Piauí,4384
4577º,2209559,São Braz do Piauí,Piauí,4377
4578º,3166501,Serra Azul de Minas,Minas Gerais,4372
4579º,4323457,Vila Nova do Sul,Rio Grande do Sul,4370
4580º,4106571,Cruzeiro do Iguaçu,Paraná,4369
4581º,4113106,Kaloré,Paraná,4368
4582º,2203255,Curralinhos,Piauí,4367
4583º,4304671,Capivari do Sul,Rio Grande do Sul,4362
4584º,3132602,Itamarati de Minas,Minas Gerais,4362
4585º,5107248,Santa Carmem,Mato Grosso,4360
4586º,3136801,Juramento,Minas Gerais,4358
4587º,3508306,Cabrália Paulista,São Paulo,4352
4588º,2408409,Olho-d'Água do Borges,Rio Grande do Norte,4349
4589º,4110003,Iguaraçu,Paraná,4343
4590º,2508554,Logradouro,Paraíba,4343
4591º,4211454,Nova Itaberaba,Santa Catarina,4339
4592º,3157377,Santa Cruz de Salinas,Minas Gerais,4337
4593º,3502606,Aparecida d'Oeste,São Paulo,4329
4594º,2211407,Várzea Grande,Piauí,4325
4595º,4204350,Cordilheira Alta,Santa Catarina,4321
4596º,2512077,Poço de José de Moura,Paraíba,4318
4597º,3150000,Pescador,Minas Gerais,4311
4598º,3135308,Japaraíba,Minas Gerais,4308
4599º,3533700,Ocauçu,São Paulo,4308
4600º,4119707,Planaltina do Paraná,Paraná,4303
4601º,3163003,São José da Safira,Minas Gerais,4303
4602º,2207959,Nova Santa Rita,Piauí,4302
4603º,3159001,Santana do Riacho,Minas Gerais,4301
4604º,2908804,Contendas do Sincorá,Bahia,4299
4605º,3521200,Iporanga,São Paulo,4299
4606º,1703867,Cariri do Tocantins,Tocantins,4296
4607º,2514008,São João do Cariri,Paraíba,4296
4608º,2204105,Francisco Ayres,Piauí,4288
4609º,2203420,Domingos Mourão,Piauí,4287
4610º,3534005,Onda Verde,São Paulo,4286
4611º,3131406,Ipiaçu,Minas Gerais,4285
4612º,4201273,Arabutã,Santa Catarina,4281
4613º,3127206,Funilândia,Minas Gerais,4277
4614º,2410801,Riacho de Santana,Rio Grande do Norte,4277
4615º,4312153,Mato Leitão,Rio Grande do Sul,4276
4616º,2408607,Paraná,Rio Grande do Norte,4276
4617º,1715101,Novo Acordo,Tocantins,4267
4618º,3152131,Ponto Chique,Minas Gerais,4259
4619º,3140100,Marilac,Minas Gerais,4254
4620º,4309159,Gramado Xavier,Rio Grande do Sul,4251
4621º,3137304,Lagoa dos Patos,Minas Gerais,4248
4622º,2208858,Riacho Frio,Piauí,4246
4623º,4103479,Cafezal do Sul,Paraná,4245
4624º,4212270,Passos Maia,Santa Catarina,4243
4625º,3540408,Populina,São Paulo,4240
4626º,2411908,São Francisco do Oeste,Rio Grande do Norte,4238
4627º,2703908,Jundiá,Alagoas,4231
4628º,1718501,Recursolândia,Tocantins,4230
4629º,3163201,São José do Alegre,Minas Gerais,4228
4630º,2210631,Sebastião Leal,Piauí,4224
4631º,4301875,Barra do Quaraí,Rio Grande do Sul,4223
4632º,4117214,Nova Santa Bárbara,Paraná,4217
4633º,2912608,Ibiquera,Bahia,4214
4634º,3161601,São Geraldo da Piedade,Minas Gerais,4214
4635º,3150208,Piedade de Ponte Nova,Minas Gerais,4213
4636º,2910206,Dom Macedo Costa,Bahia,4212
4637º,3508900,Caiabu,São Paulo,4211
4638º,1302108,Japurá,Amazonas,4205
4639º,3107604,Bom Jesus da Penha,Minas Gerais,4203
4640º,1715002,Nova Rosalândia,Tocantins,4203
4641º,4310306,Ilópolis,Rio Grande do Sul,4202
4642º,3102209,Alvarenga,Minas Gerais,4199
4643º,4308078,Fazenda Vilanova,Rio Grande do Sul,4194
4644º,4210902,Modelo,Santa Catarina,4192
4645º,1711951,Lagoa do Tocantins,Tocantins,4191
4646º,3531605,Monte Castelo,São Paulo,4190
4647º,2414753,Venha-Ver,Rio Grande do Norte,4187
4648º,3522653,Itapirapuã Paulista,São Paulo,4186
4649º,4313490,Novo Barreiro,Rio Grande do Sul,4181
4650º,3549607,São José do Barreiro,São Paulo,4181
4651º,2404002,Frutuoso Gomes,Rio Grande do Norte,4180
4652º,1705607,Conceição do Tocantins,Tocantins,4179
4653º,2512200,Prata,Paraíba,4179
4654º,3120706,Cruzeiro da Fortaleza,Minas Gerais,4174
4655º,3545506,Sandovalina,São Paulo,4174
4656º,4313607,Paim Filho,Rio Grande do Sul,4172
4657º,2504074,Caraúbas,Paraíba,4171
4658º,4104055,Campo Bonito,Paraná,4162
4659º,4312054,Marques de Souza,Rio Grande do Sul,4159
4660º,4315206,Putinga,Rio Grande do Sul,4159
4661º,4309951,Ibirapuitã,Rio Grande do Sul,4155
4662º,3541109,Presidente Alves,São Paulo,4155
4663º,3501103,Alto Alegre,São Paulo,4154
4664º,4120309,Porto Vitória,Paraná,4148
4665º,3169059,Tocos do Moji,Minas Gerais,4147
4666º,3109253,Bugre,Minas Gerais,4146
4667º,5209408,Guarani de Goiás,Goiás,4145
4668º,2514701,São José do Sabugi,Paraíba,4145
4669º,5201504,Aporé,Goiás,4143
4670º,5203575,Bonópolis,Goiás,4143
4671º,3500808,Alfredo Marcondes,São Paulo,4135
4672º,4113403,Leópolis,Paraná,4131
4673º,3140308,Marliéria,Minas Gerais,4129
4674º,4313391,Novo Cabrais,Rio Grande do Sul,4125
4675º,4122172,Rio Branco do Ivaí,Paraná,4119
4676º,5218789,Rio Quente,Goiás,4112
4677º,1720499,São Valério da Natividade,Tocantins,4111
4678º,3114600,Carrancas,Minas Gerais,4110
4679º,3500907,Altair,São Paulo,4109
4680º,3110202,Cajuri,Minas Gerais,4108
4681º,4213104,Piratuba,Santa Catarina,4102
4682º,2411056,Tibau,Rio Grande do Norte,4100
4683º,4128658,Virmond,Paraná,4095
4684º,3528908,Mariápolis,São Paulo,4087
4685º,4311122,Jaquirana,Rio Grande do Sul,4083
4686º,4310850,Jaboticaba,Rio Grande do Sul,4082
4687º,4205100,Dona Emma,Santa Catarina,4081
4688º,4116406,Nossa Senhora das Graças,Paraná,4075
4689º,3168309,Taquaraçu de Minas,Minas Gerais,4075
4690º,3160108,Santo Antônio do Grama,Minas Gerais,4071
4691º,2918902,Lajedão,Bahia,4068
4692º,4207759,Iraceminha,Santa Catarina,4067
4693º,2206654,Morro Cabeça no Tempo,Piauí,4066
4694º,3100401,Acaiaca,Minas Gerais,4065
4695º,2207306,Paes Landim,Piauí,4065
4696º,2401503,Barcelona,Rio Grande do Norte,4064
4697º,4103958,Campina do Simão,Paraná,4062
4698º,1714302,Nazaré,Tocantins,4060
4699º,2801108,Canhoba,Sergipe,4058
4700º,3154705,Ribeirão Vermelho,Minas Gerais,4058
4701º,1703891,Carrasco Bonito,Tocantins,4055
4702º,3512704,Corumbataí,São Paulo,4054
4703º,3502408,Anhumas,São Paulo,4053
4704º,3535903,Paranapuã,São Paulo,4051
4705º,3115201,Conceição da Barra de Minas,Minas Gerais,4050
4706º,5218102,Portelândia,Goiás,4044
4707º,4205159,Doutor Pedrinho,Santa Catarina,4043
4708º,4314308,Pejuçara,Rio Grande do Sul,4043
4709º,5006259,Novo Horizonte do Sul,Mato Grosso do Sul,4041
4710º,3160207,Santo Antônio do Itambé,Minas Gerais,4040
4711º,4300455,Alegria,Rio Grande do Sul,4037
4712º,5220264,São Miguel do Passa-Quatro,Goiás,4037
4713º,3148905,Pedra do Indaiá,Minas Gerais,4034
4714º,2202455,Capitão Gervásio Oliveira,Piauí,4033
4715º,3158607,Santana do Deserto,Minas Gerais,4032
4716º,4120853,Quatro Pontes,Paraná,4031
4717º,4305405,Chiapetta,Rio Grande do Sul,4026
4718º,4212403,Pedras Grandes,Santa Catarina,4026
4719º,5005103,Jateí,Mato Grosso do Sul,4025
4720º,2919009,Lajedinho,Bahia,4017
4721º,2801900,Cumbe,Sergipe,4012
4722º,4219606,Xavantina,Santa Catarina,4012
4723º,2508703,Mãe d'Água,Paraíba,4009
4724º,4122800,Salgado Filho,Paraná,4003
4725º,2406908,Lucrécia,Rio Grande do Norte,4002
4726º,2407252,Major Sales,Rio Grande do Norte,4002
4727º,4305959,Cotiporã,Rio Grande do Sul,4000
4728º,4102208,Atalaia,Paraná,3999
4729º,2205581,Lagoa do Piauí,Piauí,3996
4730º,4208609,Jaborá,Santa Catarina,3990
4731º,4314779,Pontão,Rio Grande do Sul,3990
4732º,3157609,Santa Fé de Minas,Minas Gerais,3985
4733º,2806909,São Francisco,Sergipe,3983
4734º,2513000,Salgadinho,Paraíba,3980
4735º,2918704,Lafaiete Coutinho,Bahia,3975
4736º,2207793,Pau d'Arco do Piauí,Piauí,3975
4737º,5215405,Ouro Verde de Goiás,Goiás,3971
4738º,3141900,Minduri,Minas Gerais,3970
4739º,4121307,Rancho Alegre,Paraná,3963
4740º,3167905,Tabuleiro,Minas Gerais,3963
4741º,4116307,Munhoz de Mello,Paraná,3958
4742º,4123824,Santa Lúcia,Paraná,3955
4743º,2202737,Coivaras,Piauí,3953
4744º,3533304,Nova Luzitânia,São Paulo,3953
4745º,3125002,Ewbank da Câmara,Minas Gerais,3952
4746º,3127388,Goianá,Minas Gerais,3952
4747º,2209153,Santa Cruz dos Milagres,Piauí,3952
4748º,3520707,Indiaporã,São Paulo,3951
4749º,2510501,Olivedos,Paraíba,3951
4750º,2201556,Bela Vista do Piauí,Piauí,3947
4751º,3163300,São José do Divino,Minas Gerais,3946
4752º,2807006,São Miguel do Aleixo,Sergipe,3943
4753º,3128501,Guarará,Minas Gerais,3938
